n_ind,loc,spd,dt,eng,remark
47,1.26451,0.00,0.25,471.52,elastic-scatter
47,1.26451,0.00,0.20,337.60,captured
48,0.25366,1.00,0,2000097.00,alive
48,1.00000,1.00,0.97,2000097.00,alive
48,1.09027,0.50,0.09,1432022.11,elastic-scatter
48,0.97009,0.25,0.27,1025293.94,back-scatter
49,0.46459,1.00,0,425802.01,alive
49,1.00000,1.00,1.42,425802.01,alive
49,1.00439,0.50,0.00,304864.16,elastic-scatter
49,1.17191,0.25,0.40,218275.52,elastic-scatter
49,1.16339,0.12,0.07,156280.11,elastic-scatter
49,1.20298,0.06,0.51,111892.86,elastic-scatter
49,1.17637,0.03,0.53,80112.64,captured
50,0.26684,1.00,0,2000067.00,alive
50,1.00000,1.00,1.14,2000067.00,alive
50,1.01583,0.50,0.02,1432000.63,elastic-scatter
50,0.96015,0.25,0.29,1025278.56,back-scatter
51,0.12237,1.00,0,0.12,alive
51,1.00000,1.00,1.09,0.12,alive
51,1.35648,0.50,0.36,0.08,captured
52,0.40102,1.00,0,2000079.00,alive
52,1.00000,1.00,0.72,2000079.00,alive
52,1.57970,0.50,0.60,1432009.22,escaped
53,0.10497,1.00,0,1117051.22,alive
53,1.00000,1.00,0.90,1117051.22,alive
53,1.31076,0.50,0.31,799782.23,elastic-scatter
53,1.29225,0.25,0.07,572625.15,elastic-scatter
53,1.32737,0.12,0.30,409986.05,elastic-scatter
53,1.33948,0.06,0.10,293540.31,elastic-scatter
53,1.33958,0.03,0.01,210167.91,elastic-scatter
53,1.34114,0.02,0.08,150475.25,captured
54,0.21481,1.00,0,1038.35,alive
54,1.00000,1.00,0.86,1038.35,alive
54,1.10728,0.50,0.11,743.43,elastic-scatter
54,1.05904,0.25,0.16,532.28,elastic-scatter
54,1.05667,0.12,0.02,381.10,elastic-scatter
54,1.07023,0.06,0.15,272.86,elastic-scatter
54,1.07373,0.03,0.07,195.36,elastic-scatter
54,1.07987,0.02,0.20,139.87,elastic-scatter
54,1.08198,0.01,0.14,100.15,elastic-scatter
54,1.08068,0.00,0.19,71.70,elastic-scatter
54,1.08071,0.00,0.05,51.34,elastic-scatter
54,1.08059,0.00,0.07,36.76,elastic-scatter
54,1.08065,0.00,0.19,26.32,elastic-scatter
54,1.08065,0.00,0.03,18.84,elastic-scatter
54,1.08066,0.00,0.04,13.49,elastic-scatter
54,1.08068,0.00,0.24,9.66,captured
55,0.80948,1.00,0,170069.75,alive
55,1.00000,1.00,0.23,170069.75,alive
55,1.03283,0.50,0.04,121765.92,elastic-scatter
55,0.81776,0.25,0.53,87181.51,back-scatter
56,0.10125,1.00,0,1879729.55,alive
56,1.00000,1.00,1.04,1879729.55,alive
56,1.01287,0.50,0.01,1345841.86,elastic-scatter
56,1.01447,0.25,0.01,963590.92,captured
57,0.69843,1.00,0,1304.16,alive
57,1.00000,1.00,0.89,1304.16,alive
57,1.12478,0.50,0.16,933.74,elastic-scatter
57,1.05404,0.25,0.18,668.54,elastic-scatter
57,1.05609,0.12,0.01,478.66,elastic-scatter
57,1.06021,0.06,0.03,342.71,elastic-scatter
57,1.07581,0.03,0.32,245.37,elastic-scatter
57,1.07528,0.02,0.03,175.68,elastic-scatter
57,1.08023,0.01,0.53,125.78,elastic-scatter
57,1.08036,0.00,0.20,90.06,elastic-scatter
57,1.08036,0.00,0.05,64.48,elastic-scatter
57,1.08032,0.00,0.16,46.17,elastic-scatter
57,1.08036,0.00,0.04,33.05,elastic-scatter
57,1.08043,0.00,0.15,23.67,elastic-scatter
57,1.08041,0.00,0.11,16.94,elastic-scatter
57,1.08041,0.00,0.06,12.13,elastic-scatter
57,1.08045,0.00,0.73,8.69,elastic-scatter
57,1.08045,0.00,0.04,6.22,elastic-scatter
57,1.08045,0.00,0.04,4.45,elastic-scatter
57,1.08045,0.00,0.99,3.19,elastic-scatter
57,1.08045,0.00,0.14,2.28,captured
58,0.27562,1.00,0,1291891.44,alive
58,1.00000,1.00,0.76,1291891.44,alive
58,1.18657,0.50,0.19,924963.69,elastic-scatter
58,1.18879,0.25,0.06,662252.11,elastic-scatter
58,1.18684,0.13,0.03,474156.84,elastic-scatter
58,1.13171,0.06,0.44,339485.07,elastic-scatter
58,1.13499,0.03,0.06,243063.28,elastic-scatter
58,1.14477,0.02,0.65,174027.55,elastic-scatter
58,1.14829,0.01,0.31,124599.61,elastic-scatter
58,1.14566,0.00,0.40,89210.37,elastic-scatter
58,1.14577,0.00,0.10,63872.51,elastic-scatter
58,1.14571,0.00,0.08,45731.21,elastic-scatter
58,1.14556,0.00,0.16,32742.46,elastic-scatter
58,1.14553,0.00,0.06,23442.83,elastic-scatter
58,1.14554,0.00,0.24,16784.51,elastic-scatter
58,1.14555,0.00,0.11,12017.31,elastic-scatter
58,1.14558,0.00,0.45,8604.11,elastic-scatter
58,1.14558,0.00,0.12,6160.34,elastic-scatter
58,1.14558,0.00,0.05,4410.66,elastic-scatter
58,1.14558,0.00,0.50,3157.93,elastic-scatter
58,1.14558,0.00,0.12,2261.00,elastic-scatter
58,1.14558,0.00,0.13,1618.82,captured
59,0.20412,1.00,0,3161.72,alive
59,1.00000,1.00,1.20,3161.72,alive
59,1.00855,0.50,0.01,2263.72,elastic-scatter
59,0.97526,0.25,0.09,1620.77,back-scatter
60,0.00696,1.00,0,6766.30,alive
60,1.00000,1.00,0.99,6766.30,alive
60,1.09485,0.50,0.09,4844.51,elastic-scatter
60,1.14002,0.25,0.14,3468.55,elastic-scatter
60,1.14662,0.13,0.11,2483.40,elastic-scatter
60,1.13665,0.06,0.14,1778.06,elastic-scatter
60,1.13499,0.03,0.04,1273.05,elastic-scatter
60,1.13737,0.02,0.18,911.47,elastic-scatter
60,1.13486,0.01,0.16,652.59,elastic-scatter
60,1.13529,0.00,0.17,467.24,captured
61,0.95151,1.00,0,8091.49,alive
61,1.00000,1.00,0.27,8091.49,alive
61,1.00596,0.50,0.02,5793.32,elastic-scatter
61,0.95391,0.25,0.31,4147.88,back-scatter
62,0.77873,1.00,0,1200752.42,alive
62,1.00000,1.00,1.20,1200752.42,alive
62,1.23439,0.50,0.29,859710.31,elastic-scatter
62,1.23298,0.25,0.03,615532.24,elastic-scatter
62,1.22615,0.12,0.16,440706.51,captured
63,0.39435,1.00,0,0.48,alive
63,1.00000,1.00,0.86,0.48,alive
63,1.24491,0.50,0.26,0.35,captured
64,0.73531,1.00,0,0.57,alive
64,1.00000,1.00,1.20,0.57,alive
64,1.38862,0.50,0.46,0.41,captured
65,0.83756,1.00,0,0.76,alive
65,1.00000,1.00,1.01,0.76,alive
65,1.13138,0.50,0.19,0.55,captured
66,0.99374,1.00,0,2000032.00,alive
66,1.00000,1.00,1.89,2000032.00,alive
66,1.44539,0.50,0.46,1431975.57,elastic-scatter
66,1.47324,0.25,0.06,1025260.62,captured
67,0.75852,1.00,0,2000035.00,alive
67,1.00000,1.00,1.76,2000035.00,alive
67,1.38679,0.50,0.39,1431977.72,elastic-scatter
67,1.30020,0.25,0.45,1025262.16,elastic-scatter
67,1.27093,0.13,0.47,734063.44,elastic-scatter
67,1.27943,0.06,0.07,525572.05,elastic-scatter
67,1.27587,0.03,0.06,376297.15,elastic-scatter
67,1.27593,0.02,0.08,269419.85,elastic-scatter
67,1.27554,0.01,0.03,192898.24,elastic-scatter
67,1.27960,0.00,0.55,138110.57,elastic-scatter
67,1.27961,0.00,0.02,98883.90,elastic-scatter
67,1.27969,0.00,0.13,70798.53,elastic-scatter
67,1.27984,0.00,0.15,50690.07,elastic-scatter
67,1.27984,0.00,0.01,36292.89,elastic-scatter
67,1.27984,0.00,0.02,25984.85,elastic-scatter
67,1.27984,0.00,0.09,18604.54,elastic-scatter
67,1.27984,0.00,0.07,13320.41,elastic-scatter
67,1.27984,0.00,0.18,9537.10,elastic-scatter
67,1.27983,0.00,1.03,6828.34,elastic-scatter
67,1.27982,0.00,0.76,4888.93,elastic-scatter
67,1.27982,0.00,0.03,3500.36,captured
68,0.77811,1.00,0,1017109.69,alive
68,1.00000,1.00,1.42,1017109.69,alive
68,1.24908,0.50,0.28,728226.47,elastic-scatter
68,1.47755,0.25,0.51,521392.91,elastic-scatter
68,1.56632,0.13,0.87,373304.99,escaped
69,0.88444,1.00,0,1844686.58,alive
69,1.00000,1.00,1.77,1844686.58,alive
69,1.14370,0.50,0.15,1320751.93,elastic-scatter
69,1.18731,0.25,0.28,945627.12,elastic-scatter
69,1.19015,0.13,0.16,677046.64,elastic-scatter
69,1.19342,0.06,0.06,484749.37,elastic-scatter
69,1.19103,0.03,0.04,347069.07,elastic-scatter
69,1.18838,0.02,0.09,248493.24,elastic-scatter
69,1.18987,0.01,0.49,177915.28,elastic-scatter
69,1.19012,0.00,0.13,127383.13,elastic-scatter
69,1.19008,0.00,0.02,91203.31,elastic-scatter
69,1.19051,0.00,0.23,65299.41,elastic-scatter
69,1.19051,0.00,0.04,46752.83,elastic-scatter
69,1.19055,0.00,0.20,33473.92,elastic-scatter
69,1.19067,0.00,0.84,23966.53,elastic-scatter
69,1.19066,0.00,0.04,17159.47,elastic-scatter
69,1.19069,0.00,0.43,12285.78,elastic-scatter
69,1.19069,0.00,0.11,8796.32,elastic-scatter
69,1.19069,0.00,0.18,6297.96,elastic-scatter
69,1.19069,0.00,0.31,4509.19,elastic-scatter
69,1.19069,0.00,0.07,3228.47,elastic-scatter
69,1.19069,0.00,0.19,2311.51,elastic-scatter
69,1.19069,0.00,0.04,1654.99,elastic-scatter
69,1.19069,0.00,0.23,1184.93,elastic-scatter
69,1.19069,0.00,0.27,848.38,captured
70,0.23565,1.00,0,0.87,alive
70,1.00000,1.00,0.83,0.87,alive
70,1.15803,0.50,0.16,0.62,captured
71,0.56905,1.00,0,0.03,alive
71,1.00000,1.00,0.43,0.03,alive
71,1.33644,0.50,0.34,0.02,captured
72,0.03342,1.00,0,4975.59,alive
72,1.00000,1.00,1.01,4975.59,alive
72,1.39088,0.50,0.39,3562.40,elastic-scatter
72,1.49094,0.25,0.20,2550.60,elastic-scatter
72,1.48903,0.13,0.02,1826.17,elastic-scatter
72,1.50624,0.06,0.19,1307.49,escaped
73,0.68986,1.00,0,0.96,alive
73,1.00000,1.00,1.49,0.96,alive
73,1.17054,0.50,0.18,0.69,captured
74,0.91587,1.00,0,1809915.17,alive
74,1.00000,1.00,0.90,1809915.17,alive
74,1.09066,0.50,0.15,1295856.42,elastic-scatter
74,0.99176,0.25,0.20,927802.53,back-scatter
75,0.91695,1.00,0,0.82,alive
75,1.00000,1.00,0.11,0.82,alive
75,1.07216,0.50,0.09,0.59,captured
76,0.57421,1.00,0,2000052.00,alive
76,1.00000,1.00,0.76,2000052.00,alive
76,1.14375,0.50,0.17,1431989.89,elastic-scatter
76,1.11517,0.25,0.06,1025270.87,elastic-scatter
76,1.18769,0.12,0.31,734069.68,elastic-scatter
76,1.21528,0.06,0.25,525576.51,elastic-scatter
76,1.21104,0.03,0.07,376300.34,elastic-scatter
76,1.21111,0.02,0.01,269422.14,elastic-scatter
76,1.21176,0.01,0.09,192899.88,elastic-scatter
76,1.21196,0.00,0.03,138111.75,elastic-scatter
76,1.21258,0.00,0.26,98884.74,elastic-scatter
76,1.21288,0.00,0.16,70799.13,elastic-scatter
76,1.21287,0.00,0.04,50690.50,elastic-scatter
76,1.21301,0.00,0.30,36293.20,elastic-scatter
76,1.21301,0.00,0.05,25985.07,elastic-scatter
76,1.21302,0.00,0.10,18604.70,elastic-scatter
76,1.21301,0.00,0.18,13320.52,elastic-scatter
76,1.21301,0.00,0.01,9537.18,elastic-scatter
76,1.21300,0.00,0.12,6828.39,elastic-scatter
76,1.21300,0.00,0.49,4888.97,elastic-scatter
76,1.21300,0.00,0.01,3500.39,elastic-scatter
76,1.21300,0.00,0.08,2506.19,elastic-scatter
76,1.21300,0.00,0.16,1794.38,elastic-scatter
76,1.21300,0.00,0.30,1284.73,elastic-scatter
76,1.21300,0.00,0.06,919.84,captured
77,0.75209,1.00,0,2000071.00,alive
77,1.00000,1.00,0.51,2000071.00,alive
77,1.06887,0.50,0.10,1432003.50,elastic-scatter
77,1.18769,0.25,0.36,1025280.61,elastic-scatter
77,1.22530,0.13,0.26,734076.65,elastic-scatter
77,1.21958,0.06,0.06,525581.51,elastic-scatter
77,1.26442,0.03,0.72,376303.92,elastic-scatter
77,1.26498,0.02,0.08,269424.70,elastic-scatter
77,1.26493,0.01,0.00,192901.71,elastic-scatter
77,1.26523,0.00,0.11,138113.06,elastic-scatter
77,1.26541,0.00,0.17,98885.68,elastic-scatter
77,1.26542,0.00,0.03,70799.81,elastic-scatter
77,1.26573,0.00,0.35,50690.99,elastic-scatter
77,1.26563,0.00,0.22,36293.55,elastic-scatter
77,1.26564,0.00,0.50,25985.32,elastic-scatter
77,1.26563,0.00,0.10,18604.87,elastic-scatter
77,1.26563,0.00,0.46,13320.65,elastic-scatter
77,1.26562,0.00,0.02,9537.27,elastic-scatter
77,1.26563,0.00,0.22,6828.46,elastic-scatter
77,1.26563,0.00,0.06,4889.02,elastic-scatter
77,1.26563,0.00,0.07,3500.42,elastic-scatter
77,1.26563,0.00,0.25,2506.22,elastic-scatter
77,1.26563,0.00,0.33,1794.39,elastic-scatter
77,1.26563,0.00,0.17,1284.74,elastic-scatter
77,1.26563,0.00,0.17,919.85,elastic-scatter
77,1.26563,0.00,0.48,658.59,elastic-scatter
77,1.26563,0.00,0.51,471.53,elastic-scatter
77,1.26563,0.00,0.55,337.61,elastic-scatter
77,1.26563,0.00,0.04,241.72,elastic-scatter
77,1.26563,0.00,0.03,173.06,captured
78,0.25384,1.00,0,0.47,alive
78,1.00000,1.00,0.87,0.47,alive
78,1.17227,0.50,0.18,0.34,captured
79,0.77155,1.00,0,51906.24,alive
79,1.00000,1.00,1.06,51906.24,alive
79,1.04674,0.50,0.06,37163.64,elastic-scatter
79,1.06727,0.25,0.15,26608.29,elastic-scatter
79,1.06947,0.12,0.02,19050.90,elastic-scatter
79,1.06965,0.06,0.00,13640.00,elastic-scatter
79,1.06936,0.03,0.01,9765.91,elastic-scatter
79,1.07147,0.02,0.10,6992.16,elastic-scatter
79,1.07392,0.01,0.17,5006.22,elastic-scatter
79,1.07398,0.00,0.02,3584.34,elastic-scatter
79,1.07470,0.00,0.29,2566.30,elastic-scatter
79,1.07430,0.00,0.30,1837.41,elastic-scatter
79,1.07410,0.00,0.21,1315.54,elastic-scatter
79,1.07387,0.00,0.56,941.90,elastic-scatter
79,1.07392,0.00,0.19,674.38,elastic-scatter
79,1.07391,0.00,0.08,482.84,elastic-scatter
79,1.07391,0.00,0.02,345.70,elastic-scatter
79,1.07391,0.00,0.11,247.51,elastic-scatter
79,1.07391,0.00,0.06,177.21,elastic-scatter
79,1.07391,0.00,0.09,126.88,elastic-scatter
79,1.07391,0.00,0.11,90.84,elastic-scatter
79,1.07391,0.00,0.17,65.04,elastic-scatter
79,1.07391,0.00,0.05,46.57,elastic-scatter
79,1.07391,0.00,0.18,33.34,elastic-scatter
79,1.07391,0.00,0.13,23.87,elastic-scatter
79,1.07391,0.00,0.31,17.09,elastic-scatter
79,1.07391,0.00,0.05,12.24,elastic-scatter
79,1.07391,0.00,0.15,8.76,elastic-scatter
79,1.07391,0.00,0.10,6.27,captured
80,0.25356,1.00,0,2000019.00,alive
80,1.00000,1.00,1.24,2000019.00,alive
80,1.08167,0.50,0.08,1431966.27,elastic-scatter
80,1.19752,0.25,0.25,1025253.95,elastic-scatter
80,1.18681,0.13,0.04,734057.56,elastic-scatter
80,1.19948,0.06,0.11,525567.84,elastic-scatter
80,1.17955,0.03,0.32,376294.14,elastic-scatter
80,1.17887,0.02,0.25,269417.69,elastic-scatter
80,1.17615,0.01,0.22,192896.69,elastic-scatter
80,1.17609,0.00,0.15,138109.47,elastic-scatter
80,1.17668,0.00,0.18,98883.11,elastic-scatter
80,1.17664,0.00,0.21,70797.97,elastic-scatter
80,1.17712,0.00,1.06,50689.67,elastic-scatter
80,1.17717,0.00,0.13,36292.60,elastic-scatter
80,1.17710,0.00,0.46,25984.64,elastic-scatter
80,1.17706,0.00,0.39,18604.39,elastic-scatter
80,1.17705,0.00,0.15,13320.30,elastic-scatter
80,1.17705,0.00,0.10,9537.02,elastic-scatter
80,1.17705,0.00,0.14,6828.28,elastic-scatter
80,1.17705,0.00,0.41,4888.89,elastic-scatter
80,1.17705,0.00,0.01,3500.33,elastic-scatter
80,1.17705,0.00,0.11,2506.15,elastic-scatter
80,1.17705,0.00,0.00,1794.35,elastic-scatter
80,1.17705,0.00,0.12,1284.71,elastic-scatter
80,1.17705,0.00,0.07,919.82,elastic-scatter
80,1.17705,0.00,0.22,658.57,elastic-scatter
80,1.17705,0.00,0.15,471.52,elastic-scatter
80,1.17705,0.00,0.07,337.60,elastic-scatter
80,1.17705,0.00,0.15,241.71,elastic-scatter
80,1.17705,0.00,0.04,173.06,elastic-scatter
80,1.17705,0.00,0.06,123.91,elastic-scatter
80,1.17705,0.00,0.55,88.71,elastic-scatter
80,1.17705,0.00,0.15,63.52,elastic-scatter
80,1.17705,0.00,0.31,45.48,elastic-scatter
80,1.17705,0.00,0.02,32.56,elastic-scatter
80,1.17705,0.00,0.14,23.31,elastic-scatter
80,1.17705,0.00,0.19,16.69,elastic-scatter
80,1.17705,0.00,0.03,11.95,elastic-scatter
80,1.17705,0.00,0.07,8.56,elastic-scatter
80,1.17705,0.00,0.03,6.13,elastic-scatter
80,1.17705,0.00,0.00,4.39,elastic-scatter
80,1.17705,0.00,0.47,3.14,elastic-scatter
80,1.17705,0.00,0.01,2.25,elastic-scatter
80,1.17705,0.00,0.04,1.61,elastic-scatter
80,1.17705,0.00,0.16,1.15,elastic-scatter
80,1.17705,0.00,0.25,0.83,captured
81,0.16083,1.00,0,725311.41,alive
81,1.00000,1.00,0.99,725311.41,alive
81,1.17272,0.50,0.17,519305.80,elastic-scatter
81,1.18510,0.25,0.08,371810.66,elastic-scatter
81,1.20531,0.13,0.16,266207.63,elastic-scatter
81,1.20976,0.06,0.06,190598.37,elastic-scatter
81,1.23000,0.03,0.33,136463.92,elastic-scatter
81,1.21980,0.02,0.36,97704.94,elastic-scatter
81,1.22678,0.01,0.46,69954.42,elastic-scatter
81,1.22677,0.00,0.00,50085.71,elastic-scatter
81,1.22691,0.00,0.05,35860.18,elastic-scatter
81,1.22695,0.00,0.03,25675.04,elastic-scatter
81,1.22711,0.00,0.43,18382.72,elastic-scatter
81,1.22713,0.00,0.06,13161.59,elastic-scatter
81,1.22715,0.00,0.09,9423.39,elastic-scatter
81,1.22715,0.00,0.02,6746.92,elastic-scatter
81,1.22716,0.00,0.31,4830.64,elastic-scatter
81,1.22716,0.00,0.10,3458.62,elastic-scatter
81,1.22716,0.00,0.04,2476.29,elastic-scatter
81,1.22716,0.00,0.03,1772.97,elastic-scatter
81,1.22716,0.00,0.04,1269.40,elastic-scatter
81,1.22716,0.00,0.41,908.86,elastic-scatter
81,1.22716,0.00,0.21,650.72,elastic-scatter
81,1.22716,0.00,0.47,465.90,captured
82,0.39678,1.00,0,167.63,alive
82,1.00000,1.00,0.67,167.63,alive
82,1.06690,0.50,0.07,120.02,elastic-scatter
82,1.07959,0.25,0.07,85.93,elastic-scatter
82,0.99831,0.12,0.51,61.52,back-scatter
83,0.62913,1.00,0,1440575.89,alive
83,1.00000,1.00,0.37,1440575.89,alive
83,1.19254,0.50,0.19,1031418.24,elastic-scatter
83,1.55578,0.25,0.90,738471.05,escaped
84,0.23188,1.00,0,2000070.00,alive
84,1.00000,1.00,0.81,2000070.00,alive
84,1.42493,0.50,0.43,1432002.78,captured
85,0.36289,1.00,0,0.97,alive
85,1.00000,1.00,1.36,0.97,alive
85,1.08496,0.50,0.08,0.70,captured
86,0.53925,1.00,0,2000085.00,alive
86,1.00000,1.00,0.80,2000085.00,alive
86,1.00707,0.50,0.01,1432013.52,elastic-scatter
86,0.96746,0.25,0.14,1025287.79,back-scatter
87,0.88662,1.00,0,0.13,alive
87,1.00000,1.00,0.11,0.13,alive
87,1.15671,0.50,0.16,0.09,captured
88,0.46145,1.00,0,2000052.00,alive
88,1.00000,1.00,0.62,2000052.00,alive
88,1.40718,0.50,0.42,1431989.89,elastic-scatter
88,1.40709,0.25,0.05,1025270.87,elastic-scatter
88,1.40699,0.12,0.03,734069.68,elastic-scatter
88,1.41751,0.06,0.15,525576.51,elastic-scatter
88,1.41761,0.03,0.05,376300.34,elastic-scatter
88,1.42133,0.02,0.18,269422.14,elastic-scatter
88,1.42100,0.01,0.14,192899.88,captured
89,0.16568,1.00,0,7663.52,alive
89,1.00000,1.00,0.93,7663.52,alive
89,1.25517,0.50,0.26,5486.90,elastic-scatter
89,1.24282,0.25,0.22,3928.49,elastic-scatter
89,1.23125,0.12,0.06,2812.70,elastic-scatter
89,1.23358,0.06,0.18,2013.83,elastic-scatter
89,1.23003,0.03,0.11,1441.85,elastic-scatter
89,1.21217,0.02,0.82,1032.33,elastic-scatter
89,1.21424,0.01,0.27,739.13,elastic-scatter
89,1.21664,0.00,0.35,529.20,elastic-scatter
89,1.21506,0.00,0.41,378.89,elastic-scatter
89,1.21492,0.00,0.18,271.28,elastic-scatter
89,1.21492,0.00,0.04,194.23,captured
90,0.65861,1.00,0,2000030.00,alive
90,1.00000,1.00,0.54,2000030.00,alive
90,1.37073,0.50,0.43,1431974.14,elastic-scatter
90,1.37253,0.25,0.01,1025259.59,elastic-scatter
90,1.37447,0.12,0.01,734061.60,elastic-scatter
90,1.38149,0.06,0.10,525570.73,elastic-scatter
90,1.36599,0.03,0.38,376296.21,elastic-scatter
90,1.36484,0.02,0.06,269419.18,elastic-scatter
90,1.36479,0.01,0.01,192897.75,elastic-scatter
90,1.36443,0.00,0.10,138110.23,elastic-scatter
90,1.36407,0.00,0.10,98883.65,elastic-scatter
90,1.36404,0.00,0.09,70798.36,elastic-scatter
90,1.36399,0.00,0.08,50689.95,elastic-scatter
90,1.36398,0.00,0.10,36292.80,elastic-scatter
90,1.36394,0.00,0.32,25984.79,elastic-scatter
90,1.36399,0.00,0.49,18604.49,elastic-scatter
90,1.36398,0.00,0.23,13320.38,elastic-scatter
90,1.36399,0.00,0.17,9537.07,elastic-scatter
90,1.36399,0.00,0.04,6828.32,elastic-scatter
90,1.36399,0.00,0.16,4888.92,elastic-scatter
90,1.36399,0.00,0.03,3500.35,elastic-scatter
90,1.36399,0.00,0.03,2506.17,elastic-scatter
90,1.36399,0.00,0.02,1794.36,elastic-scatter
90,1.36399,0.00,0.39,1284.72,elastic-scatter
90,1.36399,0.00,0.08,919.83,elastic-scatter
90,1.36399,0.00,0.07,658.57,elastic-scatter
90,1.36399,0.00,0.23,471.52,elastic-scatter
90,1.36399,0.00,0.07,337.60,elastic-scatter
90,1.36399,0.00,0.07,241.71,elastic-scatter
90,1.36399,0.00,0.30,173.06,captured
91,0.51215,1.00,0,9139.33,alive
91,1.00000,1.00,1.27,9139.33,alive
91,1.23648,0.50,0.25,6543.54,elastic-scatter
91,1.28686,0.25,0.12,4685.02,elastic-scatter
91,1.27595,0.13,0.04,3354.37,elastic-scatter
91,1.27588,0.06,0.01,2401.65,elastic-scatter
91,1.27595,0.03,0.04,1719.52,captured
92,0.98160,1.00,0,370175.80,alive
92,1.00000,1.00,0.33,370175.80,alive
92,1.10731,0.50,0.30,265037.11,elastic-scatter
92,1.08588,0.25,0.24,189760.30,elastic-scatter
92,1.12874,0.12,0.21,135863.88,captured
93,0.42384,1.00,0,0.62,alive
93,1.00000,1.00,0.76,0.62,alive
93,1.11178,0.50,0.12,0.44,captured
94,0.54800,1.00,0,1164633.86,alive
94,1.00000,1.00,0.78,1164633.86,alive
94,1.21523,0.50,0.25,833850.28,elastic-scatter
94,1.17816,0.25,0.17,597017.06,elastic-scatter
94,1.17437,0.12,0.02,427450.09,elastic-scatter
94,1.17190,0.06,0.09,306044.15,elastic-scatter
94,1.18134,0.03,0.16,219120.36,elastic-scatter
94,1.17193,0.02,0.31,156884.99,elastic-scatter
94,1.17189,0.01,0.01,112325.94,elastic-scatter
94,1.17083,0.00,0.15,80422.72,captured
95,0.08248,1.00,0,8060.53,alive
95,1.00000,1.00,0.93,8060.53,alive
95,1.21727,0.50,0.22,5771.15,elastic-scatter
95,0.99713,0.25,0.46,4132.00,back-scatter
96,0.88918,1.00,0,4847.57,alive
96,1.00000,1.00,1.82,4847.57,alive
96,1.08608,0.50,0.09,3470.75,elastic-scatter
96,0.96343,0.25,0.25,2484.97,back-scatter
97,0.55627,1.00,0,0.55,alive
97,1.00000,1.00,0.47,0.55,alive
97,1.19023,0.50,0.20,0.40,captured
98,0.99564,1.00,0,0.10,alive
98,1.00000,1.00,1.04,0.10,alive
98,1.19259,0.50,0.31,0.07,captured
99,0.14532,1.00,0,761278.93,alive
99,1.00000,1.00,1.07,761278.93,alive
99,1.20743,0.50,0.21,545057.70,elastic-scatter
99,1.13381,0.25,0.29,390248.41,elastic-scatter
99,1.13547,0.12,0.02,279408.62,elastic-scatter
99,1.13423,0.06,0.07,200049.96,elastic-scatter
99,1.13547,0.03,0.17,143231.04,elastic-scatter
99,1.13953,0.02,0.45,102550.03,elastic-scatter
99,1.14041,0.01,0.08,73423.40,elastic-scatter
99,1.14031,0.00,0.01,52569.41,elastic-scatter
99,1.14323,0.00,0.77,37638.46,elastic-scatter
99,1.14361,0.00,0.37,26948.24,elastic-scatter
99,1.14375,0.00,0.27,19294.30,elastic-scatter
99,1.14378,0.00,0.07,13814.27,elastic-scatter
99,1.14369,0.00,0.44,9890.69,elastic-scatter
99,1.14361,0.00,0.73,7081.50,elastic-scatter
99,1.14362,0.00,0.30,5070.18,elastic-scatter
99,1.14362,0.00,0.08,3630.13,elastic-scatter
99,1.14362,0.00,0.56,2599.09,elastic-scatter
99,1.14362,0.00,0.48,1860.89,elastic-scatter
99,1.14362,0.00,0.08,1332.35,elastic-scatter
99,1.14362,0.00,0.17,953.93,elastic-scatter
99,1.14362,0.00,0.27,682.99,elastic-scatter
99,1.14362,0.00,0.07,489.01,elastic-scatter
99,1.14362,0.00,0.26,350.12,elastic-scatter
99,1.14362,0.00,0.08,250.68,elastic-scatter
99,1.14362,0.00,0.12,179.48,elastic-scatter
99,1.14362,0.00,0.10,128.50,elastic-scatter
99,1.14362,0.00,0.92,92.00,elastic-scatter
99,1.14362,0.00,0.02,65.87,elastic-scatter
99,1.14362,0.00,0.45,47.16,elastic-scatter
99,1.14362,0.00,0.02,33.77,elastic-scatter
99,1.14362,0.00,0.03,24.18,captured
100,0.50880,1.00,0,2000081.00,alive
100,1.00000,1.00,0.86,2000081.00,alive
100,1.04719,0.50,0.05,1432010.66,elastic-scatter
100,1.09483,0.25,0.10,1025285.74,elastic-scatter
100,1.21019,0.12,0.53,734080.32,elastic-scatter
100,1.22120,0.06,0.69,525584.13,elastic-scatter
100,1.22754,0.03,0.27,376305.80,elastic-scatter
100,1.22639,0.02,0.06,269426.05,elastic-scatter
100,1.22523,0.01,0.12,192902.67,elastic-scatter
100,1.22563,0.00,0.26,138113.75,elastic-scatter
100,1.22613,0.00,0.13,98886.17,elastic-scatter
100,1.22612,0.00,0.01,70800.16,elastic-scatter
100,1.22614,0.00,0.06,50691.24,elastic-scatter
100,1.22615,0.00,0.08,36293.73,captured
