n_ind,loc,spd,dt,eng,remark
17,1.05883,0.50,0.07,0.34,captured
18,0.67065,1.00,0,2000068.00,alive
18,1.00000,1.00,0.36,2000068.00,alive
18,1.05685,0.50,0.06,1432001.35,elastic-scatter
18,1.05676,0.25,0.31,1025279.07,elastic-scatter
18,1.03068,0.13,0.26,734075.55,elastic-scatter
18,1.08417,0.06,0.46,525580.72,elastic-scatter
18,1.08392,0.03,0.00,376303.35,elastic-scatter
18,1.08213,0.02,0.06,269424.30,elastic-scatter
18,1.08260,0.01,0.08,192901.42,elastic-scatter
18,1.08328,0.00,0.48,138112.85,elastic-scatter
18,1.08396,0.00,0.19,98885.53,elastic-scatter
18,1.08448,0.00,0.39,70799.70,elastic-scatter
18,1.08443,0.00,0.05,50690.91,elastic-scatter
18,1.08438,0.00,0.13,36293.49,elastic-scatter
18,1.08442,0.00,0.30,25985.28,elastic-scatter
18,1.08441,0.00,0.17,18604.85,elastic-scatter
18,1.08440,0.00,0.05,13320.63,elastic-scatter
18,1.08440,0.00,0.05,9537.26,elastic-scatter
18,1.08440,0.00,0.00,6828.45,elastic-scatter
18,1.08440,0.00,0.06,4889.01,elastic-scatter
18,1.08440,0.00,0.43,3500.41,elastic-scatter
18,1.08440,0.00,0.04,2506.21,elastic-scatter
18,1.08440,0.00,0.19,1794.39,elastic-scatter
18,1.08440,0.00,0.06,1284.74,elastic-scatter
18,1.08440,0.00,0.45,919.84,elastic-scatter
18,1.08440,0.00,0.08,658.59,elastic-scatter
18,1.08440,0.00,0.07,471.53,elastic-scatter
18,1.08440,0.00,0.14,337.61,elastic-scatter
18,1.08440,0.00,0.30,241.72,elastic-scatter
18,1.08440,0.00,0.02,173.06,elastic-scatter
18,1.08440,0.00,0.19,123.91,elastic-scatter
18,1.08440,0.00,0.00,88.72,elastic-scatter
18,1.08440,0.00,0.04,63.52,elastic-scatter
18,1.08440,0.00,0.39,45.48,elastic-scatter
18,1.08440,0.00,0.24,32.56,elastic-scatter
18,1.08440,0.00,0.12,23.31,elastic-scatter
